lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,alpha.31,kappa
# Adaptation terminated
# Step size = 0.353006
# Diagonal elements of inverse mass matrix:
# 0.0161009, 0.0169884, 0.0166236, 0.013645, 0.0475857, 0.0327808, 0.0372598, 0.0485971, 0.0348495, 0.037434, 0.0525685, 0.0275391, 0.0410617, 0.0367249, 0.0704779, 0.0426119, 0.0500641, 0.0522695, 0.0311296, 0.0443528, 0.0653784, 0.0472225, 0.0198281, 0.0243012, 0.0475171, 0.0375727, 0.0394293, 0.0491096, 0.0758509, 0.0304844, 0.0312909, 0.0578402, 0.0558357, 0.0449262, 0.0466869, 0.0240602
1476.49,0.974767,0.353006,3,7,0,-1463.2,1.56144,1.76405,1.69384,2.35987,-0.14119,0.37719,0.163542,0.102045,0.324868,0.358647,-0.0227022,0.736001,0.183729,0.313546,-0.62811,-0.228795,-0.314062,-0.16439,0.562211,0.248973,-0.246915,-0.224843,1.62575,1.02099,-0.376352,0.265489,-0.126483,-0.0449998,-0.697379,0.696046,0.334855,-0.989325,-0.100522,-0.236005,-0.625204,0.548933
1475.82,0.992722,0.353006,4,15,0,-1458.6,1.72403,1.88855,1.82443,2.46497,-0.539654,-0.30792,0.220848,-0.166519,-0.0638304,0.0661637,-0.722899,0.817535,0.34006,0.236857,-0.532709,0.0912287,-0.395777,-0.341162,0.589665,-0.523516,-0.497076,-0.367825,1.60591,0.902952,-0.291906,0.599279,0.307607,-0.142439,-1.04418,0.451507,0.139324,-0.473598,-0.107775,-0.112091,0.110874,0.501508
1480.9,1,0.353006,3,7,0,-1461.14,1.79377,1.62996,1.75474,2.39252,-0.329182,-0.00641804,-0.076533,-0.11178,0.296074,0.0851761,-0.700385,0.586762,0.230495,0.441164,-0.982209,-0.00813485,-0.280251,-0.183262,0.382495,-0.398482,-0.316335,-0.278561,1.70233,1.15476,-0.0556026,0.61147,-0.112854,-0.0461579,-0.769094,0.303512,0.0271776,-0.513636,-0.277359,0.0401014,-0.0825048,0.522917
1476.59,0.879504,0.353006,3,7,0,-1461.81,1.70056,1.85645,1.8829,2.46072,-0.409986,0.0808626,0.0614709,-0.235487,0.0296068,-0.046882,-0.293447,0.628874,0.0505458,0.0634167,-0.281505,-0.00306593,-0.36435,-0.399713,0.222625,0.0194028,-0.83152,-0.0907311,1.53968,0.820558,-0.421053,-0.159982,0.412769,-0.121377,-1.06464,0.678276,0.574887,-0.698799,-0.160404,-0.21551,-0.268575,0.612657
1478.96,0.906277,0.353006,4,15,0,-1455.62,1.72266,1.91767,1.92799,2.50929,-0.192784,-0.0478387,-0.0612511,-0.0240229,0.28004,0.0283347,-0.629649,0.450017,0.0881343,0.34034,-1.09772,-0.10509,-0.657673,-0.302949,0.352538,-0.428877,-0.252372,-0.503132,1.57288,0.960941,-0.666107,0.521699,-0.151935,-0.104968,-0.878182,0.37483,-0.0397619,-0.651639,-0.237777,-0.356177,-0.0669969,0.525716
1473.68,0.69975,0.353006,3,7,0,-1457.37,1.98486,1.73259,1.79213,2.47589,-0.309122,-0.18049,-0.172114,-0.104735,0.0333949,0.388572,-0.4569,0.195002,0.188864,-0.0860636,-0.497007,-0.195371,-0.758113,-0.148236,0.598241,-0.043857,-0.600296,-0.391995,1.53444,0.990124,-0.469304,-0.0489361,0.145472,0.0486057,-0.925846,0.236807,0.386136,-0.806385,-0.542604,-0.0585295,-0.270617,0.623986
1471.41,0.983793,0.353006,4,15,0,-1456.97,1.90216,1.65951,1.71856,2.42768,-0.388101,0.272629,0.245623,-0.108166,0.201418,-0.124699,-0.456324,0.902879,0.199743,0.414248,-0.749351,0.0909623,0.0163479,-0.420487,0.242827,-0.809282,-0.382386,-0.212592,1.70934,0.776037,-0.0347241,0.125066,0.0268968,-0.17853,-0.999957,0.606665,0.147635,-0.516399,0.0569135,-0.470443,-0.160445,0.502164
1481.09,0.976324,0.353006,3,7,0,-1457.17,1.70185,1.78371,1.92384,2.44967,-0.381577,-0.124737,0.0906272,-0.379952,0.305097,0.28104,-0.451857,0.618234,-0.0459263,0.00170209,-0.924465,0.185392,-0.388784,0.0782833,0.418636,-0.352716,-0.484549,-0.414918,1.49944,1.04446,-0.362364,0.3122,0.218899,-0.200926,-1.05184,0.348827,0.397736,-0.723463,-0.296429,0.137045,-0.176811,0.625041
1482.97,0.917306,0.353006,3,7,0,-1468.25,1.73235,1.78629,1.87269,2.53504,-0.348465,-0.0582245,0.0610593,-0.342583,0.204972,0.305336,-0.398875,0.654166,-0.0843548,0.0314589,-0.941618,0.131052,-0.394412,0.00350618,0.46082,-0.379345,-0.461745,-0.440152,1.50983,1.14251,-0.384605,0.242817,0.245763,-0.214003,-1.18846,0.398482,0.48829,-0.75234,-0.330627,-0.0591399,-0.220951,0.619302
1479.54,0.776602,0.353006,3,7,0,-1462.79,1.74397,1.56687,1.80599,2.49226,-0.286728,-0.0363565,0.0781109,-0.0828141,0.123868,0.286867,-0.595501,0.581416,0.171308,0.0999423,-0.77136,0.230429,-0.387353,0.191007,0.361577,-0.0764829,-0.463348,-0.344358,1.59142,1.03137,-0.533223,0.161239,0.157406,-0.296442,-1.14354,0.411157,0.362781,-0.68153,-0.682836,0.106496,-0.375681,0.51378
1484.33,0.823045,0.353006,3,7,0,-1465.28,1.71781,1.87195,1.748,2.39341,-0.23944,0.0344878,-0.0531952,-0.00525491,0.270087,0.0712571,-0.240183,0.528975,0.116785,0.175666,-0.571395,-0.101459,-0.229948,-0.52894,0.37317,-0.365401,-0.414734,-0.143,1.56016,0.967167,-0.122732,0.161355,-0.0079196,-0.0130948,-1.11958,0.624902,0.361949,-0.798973,0.0347929,-0.308767,-0.471365,0.604625
1485.07,0.936771,0.353006,3,7,0,-1468.59,1.77832,1.54512,1.72581,2.43046,-0.242846,0.00756492,0.218109,-0.0866659,0.112508,0.201867,-0.621414,0.665316,0.484407,0.267726,-0.883424,-0.0409057,-0.101657,0.0644418,0.372123,-0.0473678,-0.352738,0.022679,1.72036,1.07072,-0.147249,0.229282,0.0620753,-0.107553,-1.05897,0.531006,0.329484,-0.758376,-0.188286,0.0696223,-0.0177179,0.555882
1483.24,0.862387,0.353006,3,7,0,-1470,1.72255,1.76323,1.81362,2.36619,-0.637242,0.243189,0.12974,-0.182083,0.121087,0.20153,-0.527928,0.487455,0.0799673,0.144977,-0.729117,-0.308536,-0.377191,-0.318505,0.37167,-0.0162176,-0.532178,-0.28476,1.69843,1.00996,-0.153246,0.506099,0.211643,-0.234168,-0.919418,0.55485,0.408458,-0.686026,-0.0463772,0.307819,-0.161568,0.590273
1482.66,0.902806,0.353006,3,15,0,-1466.39,1.7919,1.68528,1.7297,2.43024,-0.353898,-0.0225078,0.0274978,-0.0599059,0.352136,0.134715,-0.487019,0.513269,0.166214,0.0987001,-0.491489,0.467404,-0.0981584,0.0851261,0.698228,-0.366051,-0.353072,-0.364018,1.6259,1.14122,-0.40423,0.219691,0.0600851,0.0420247,-0.853488,0.560345,0.306867,-0.958936,-0.010748,-0.182769,-0.210576,0.565191
1473.09,0.802525,0.353006,3,7,0,-1459.51,1.74871,1.76883,1.87891,2.45046,-0.260362,-0.000635464,-0.308997,0.0859041,0.169581,0.343858,-0.39621,0.410023,0.273038,0.697389,-1.00132,0.131421,-0.534842,-0.306369,0.335184,0.249975,-0.556175,-0.215573,1.5713,0.713685,-0.219388,0.301513,-0.114599,-0.0361441,-1.42905,0.4374,0.491211,-0.545919,-0.319124,-0.250098,0.13606,0.519182
1480.03,0.973037,0.353006,4,15,0,-1455.18,1.87426,1.8006,1.70693,2.45092,-0.383864,0.0361234,0.0658179,-0.0901799,0.166612,0.179368,-0.647141,0.404179,0.351261,0.382398,-0.334546,0.0415296,-0.146827,-0.185127,0.325315,-0.0444117,-0.535487,-0.225635,1.55019,0.769376,-0.452239,0.286375,0.336346,-0.346953,-0.640345,0.50484,0.617376,-0.397694,-0.381576,-0.171103,0.0138251,0.52043
1479.15,0.960761,0.353006,3,15,0,-1465.34,1.72222,1.77071,1.97132,2.5117,-0.335824,0.0741353,0.0695579,-0.254787,0.0381808,0.0511076,-0.637609,0.459983,0.0408994,0.204907,-0.751671,-0.445369,-0.266824,-0.399531,0.484312,0.162083,-0.481835,-0.412267,1.58949,1.16949,-0.434411,0.16472,-0.0736521,0.0253795,-0.755876,0.456588,0.228959,-0.952664,-0.397275,-0.217769,-0.201213,0.395917
1480.15,0.968807,0.353006,4,15,0,-1462.01,1.77196,1.84406,2.03266,2.53877,-0.282166,-0.0837965,-0.214593,-0.38077,0.0895298,0.163861,-0.525747,0.254196,0.26857,0.125019,-0.57156,0.041714,-0.550039,-0.513768,0.350836,-0.736376,-0.623252,-0.282983,1.57601,0.868964,-0.284309,0.157274,0.130412,-0.230616,-1.32181,0.460856,0.298905,-0.512898,-0.165547,-0.0520217,-0.193475,0.715142
